City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
201,puerto ayora,-0.7393,-90.3518,25.31,93,84,2.68,EC,1687870029
202,grand falls-windsor,48.9332,-55.6649,16.95,50,99,2.24,CA,1687870122
203,ortaca,36.8294,28.7708,32.03,38,1,4.56,TR,1687870125
204,kotlas,61.2611,46.6556,26.07,31,45,0.69,RU,1687870125
205,ugoofaaru,5.6667,73.0,28.26,75,100,4.41,MV,1687870125
206,kirensk,57.7853,108.1119,12.48,97,100,3.5,RU,1687870125
207,la passe,45.5549,-0.8967,26.68,50,100,2.95,FR,1687870125
208,santana,-0.0583,-51.1817,29.3,62,12,2.71,BR,1687870088
209,port lincoln,-34.7333,135.8667,11.76,76,55,1.07,AU,1687870125
210,itoman,26.1247,127.6694,28.0,81,100,4.71,JP,1687870126
211,tubarjal,30.4999,38.216,36.58,7,0,5.68,SA,1687870126
212,praia da vitoria,38.7333,-27.0667,21.22,79,78,4.7,PT,1687870126
213,lensk,60.7253,114.9278,21.29,68,7,2.78,RU,1687870126
214,tamale,9.4008,-0.8393,29.82,59,99,3.48,GH,1687870126
215,umm ruwaba,12.9061,31.2158,37.26,24,24,4.29,SD,1687870126
216,ivanava,52.1451,25.5365,15.95,96,100,2.93,BY,1687870126
217,sainte-anne-des-monts,49.124,-66.4924,14.87,82,100,1.31,CA,1687870126
218,smirnovo,54.5125,69.4222,12.32,96,100,9.16,KZ,1687870126
219,kem',64.9555,34.5793,14.83,67,90,4.12,RU,1687870126
220,kenai,60.5544,-151.2583,8.41,94,100,0.87,US,1687870126
221,gadzhiyevo,69.2551,33.3362,12.34,67,82,2.43,RU,1687870126
222,zheleznodorozhnyy,55.7503,38.0042,23.02,44,100,3.23,RU,1687870127
223,selfoss,63.9331,-20.9971,13.36,71,100,7.4,IS,1687869646
224,aasiaat,68.7098,-52.8699,4.0,78,91,9.88,GL,1687870127
225,port douglas,-16.4833,145.4667,23.62,75,100,5.07,AU,1687870127
226,krasnopillya,50.7746,35.2597,16.51,82,91,5.12,UA,1687870127
227,vernon,50.2581,-119.2691,18.58,62,22,0.34,CA,1687869642
228,shahrud,36.4182,54.9763,33.22,13,5,0.59,IR,1687870127
229,murzuq,25.9155,13.9184,39.33,10,0,2.67,LY,1687870127
230,playa del ingles,27.7567,-15.5787,26.44,79,0,0.89,ES,1687870090
231,fale old settlement,-9.3852,-171.2468,28.58,78,100,6.79,TK,1687870127
232,corbu,44.3833,28.65,29.52,35,43,1.76,RO,1687870127
233,carangola,-20.7331,-42.0294,24.81,61,0,0.58,BR,1687870127
234,akhaltsikhe,41.639,42.9826,21.57,75,59,2.62,GE,1687870127
235,al burayqah,30.4062,19.5739,25.52,74,0,7.02,LY,1687870128
236,betio village,1.358,172.9211,26.99,81,99,3.17,KI,1687870128
237,uturoa,-16.7333,-151.4333,26.67,79,96,9.8,PF,1687870128
238,el hadjira,32.6134,5.5126,37.72,17,0,3.55,DZ,1687870128
239,solhan,38.9634,41.0293,27.05,35,82,3.06,TR,1687870128
240,valka,57.7752,26.0101,20.55,59,100,2.0,LV,1687870128
241,san luis de la loma,17.2706,-100.8939,26.6,76,55,2.33,MX,1687870128
242,barra velha,-26.6322,-48.6847,21.51,64,0,2.19,BR,1687870128
243,antofagasta,-23.65,-70.4,17.45,73,37,2.01,CL,1687869915
244,ma'rib,15.4591,45.3253,39.4,10,45,6.84,YE,1687870128
245,port macquarie,-31.4333,152.9167,10.5,66,75,2.1,AU,1687870128
246,micheweni,-4.9667,39.8333,27.0,66,17,6.64,TZ,1687870128
247,kurmuk,10.55,34.2833,28.01,65,75,3.29,SD,1687870129
248,gandu,-13.7439,-39.4867,25.19,63,99,2.16,BR,1687870129
249,uryupinsk,50.8047,42.0138,14.78,91,100,8.12,RU,1687870129
250,villa gesell,-37.2639,-56.973,11.28,60,100,1.33,AR,1687870129
251,amga,60.8953,131.9608,17.44,93,22,0.48,RU,1687870129
252,kapa'a,22.0752,-159.319,23.39,82,37,1.34,US,1687870129
253,amlapura,-8.45,115.6167,24.65,87,50,3.22,ID,1687870129
254,burley,42.5357,-113.7928,12.33,75,83,1.71,US,1687870129
255,annaba,36.9,7.7667,28.57,56,0,4.05,DZ,1687870129
256,sinabang,2.4803,96.3801,27.13,80,100,2.36,ID,1687870129
257,crane,31.3974,-102.3501,28.07,35,0,4.85,US,1687870036
258,christchurch,-43.5333,172.6333,9.95,91,100,3.13,NZ,1687869482
259,rosarito,32.3333,-117.0333,16.38,86,2,2.96,MX,1687870130
260,revda,56.801,59.9303,20.84,30,73,3.2,RU,1687870130
261,qamdo,31.1667,97.2333,12.05,46,41,2.09,CN,1687870130
262,swakopmund,-22.6833,14.5333,16.1,83,1,2.24,NA,1687870130
263,cidreira,-30.1811,-50.2056,19.98,72,6,2.11,BR,1687870130
264,tarinkot,32.6268,65.8733,36.73,8,0,7.31,AF,1687870130
265,klyuchi,52.2667,79.1667,20.92,57,100,1.31,RU,1687870130
266,kristiansund,63.1115,7.732,13.74,85,13,6.68,NO,1687870130
